word;sentiment
autoritario;positivo
autoridad;positivo
autorizacion;positivo
autorizado;positivo
avatar;positivo
premio;positivo
si;positivo
si;positivo
bebe;positivo
bachillerato;positivo
columna vertebral;positivo
equilibrar;positivo
equilibrado;positivo
balada;positivo
ballet;positivo
votacion;positivo
balsamo;positivo
balsamo;positivo
banquete;positivo
bautismo;positivo
bautismal;positivo
bardo;positivo
negociar;positivo
baloncesto;positivo
bastion;positivo
bañera;positivo
haz;positivo
radiante;positivo
embellecimiento;positivo
hermosa;positivo
embellecer;positivo
belleza;positivo
base;positivo
cerveza;positivo
propio;positivo
ofrecer amistad;positivo
creyendo;positivo
benefactor;positivo
beneficioso;positivo
beneficio;positivo
benevolencia;positivo
benigno;positivo
atracar;positivo
prometido;positivo
mejoramiento;positivo
bebida;positivo
biblico;positivo
bilingüe;positivo
nacimiento;positivo
cumpleaños;positivo
inocente;positivo
amable;positivo
bendecir;positivo
bendito;positivo
bendicion;positivo
bendiciones;positivo
felicidad;positivo
feliz;positivo
incruento;positivo
florecer;positivo
flor;positivo
alarde;positivo
guardaespaldas;positivo
bullicioso;positivo
negrita;positivo
audacia;positivo
reforzar;positivo
bonanza;positivo
NO TRANSLATION;positivo
prima;positivo
libresco;positivo
libreria;positivo
raton de biblioteca;positivo
bendicion;positivo
abundante;positivo
generosidad;positivo
ramo;positivo
sesos;positivo
valentia;positivo
desayuno;positivo
nupcial;positivo
novia;positivo
novio;positivo
dama de honor;positivo
aclarar;positivo
brillo;positivo
brillante;positivo
brocado;positivo
hermano;positivo
fraternidad;positivo
fraternal;positivo
dolar;positivo
compañero;positivo
construir;positivo
edificio;positivo
buldog;positivo
a prueba de balas;positivo
boya;positivo
bus;positivo
mayordomo;positivo
mantecoso;positivo
exuberante;positivo
zumbido;positivo
taxi;positivo
gabinete;positivo
cafeteria;positivo
calculadora;positivo
becerro;positivo
calma;positivo
canario;positivo
sincero;positivo
candidato;positivo
azucarado;positivo
capitalista;positivo
capitan;positivo
cautivar;positivo
cautivador;positivo
cuidadoso;positivo
cuidadosamente;positivo
caricia;positivo
vigilante;positivo
villancico;positivo
cascada;positivo
efectivo;positivo
atractivo;positivo
categorico;positivo
abastecer;positivo
catartico;positivo
catedral;positivo
cauteloso;positivo
cautelosamente;positivo
celebrado;positivo
celebrando;positivo
celebracion;positivo
celebridad;positivo
celestial;positivo
centrar;positivo
centurion;positivo
cerebral;positivo
ceremonia;positivo
certeza;positivo
presidente;positivo
presidenta;positivo
campeon;positivo
cantar;positivo
cargador;positivo
Caritativo;positivo
caridad;positivo
encanto;positivo
Encantado;positivo
encantador;positivo
castidad;positivo
parloteo;positivo
lista de control;positivo
animar;positivo
alegre;positivo
alegria;positivo
aplausos;positivo
NO TRANSLATION;positivo
quimico;positivo
apreciar;positivo
Cereza;positivo
jefe;positivo
niño;positivo
infancia;positivo
chirrido;positivo
cincel;positivo
caballeria;positivo
chocolate;positivo
eleccion;positivo
coro;positivo
coral;positivo
coro;positivo
elegido;positivo
sopa de pescado;positivo
cronica;positivo
risita;positivo
Iglesia;positivo
sidra;positivo
circuncision;positivo
burla;positivo
ciudadano;positivo
civil;positivo
civilidad;positivo
civilizacion;positivo
civilizado;positivo
clarividente;positivo
aplaudir;positivo
aclarar;positivo
clasico;positivo
clasico;positivo
clasicos;positivo
clasificar;positivo
limpiar;positivo
limpieza;positivo
limpieza;positivo
limpiamente;positivo
limpiar;positivo
limpieza;positivo
despeje;positivo
claridad;positivo
clerical;positivo
inteligente;positivo
astucia;positivo
climax;positivo
cercania;positivo
cierre;positivo
NO TRANSLATION;positivo
payaso;positivo
coalicion;positivo
costa;positivo
coexistir;positivo
convincente;positivo
cognitivo;positivo
coherencia;positivo
coherente;positivo
cohesivo;positivo
colectivamente;positivo
coronel;positivo
colosal;positivo
comodidad;positivo
comandante;positivo
dominante;positivo
conmemorar;positivo
conmemoracion;positivo
conmemorativo;positivo
elogiar;positivo
recomendable;positivo
comentarista;positivo
compromiso;positivo
comprometido;positivo
comodoro;positivo
mancomunidad;positivo
comunicar;positivo
comunicativo;positivo
comunion;positivo
comunidad;positivo
conmutacion;positivo
conmutar;positivo
compañero;positivo
compasion;positivo
compasivo;positivo
compatibilidad;positivo
compatible;positivo
irresistible;positivo
compensar;positivo
compensatorio;positivo
competencia;positivo
competencia;positivo
competente;positivo
complacencia;positivo
complemento;positivo
complementario;positivo
completamente;positivo
lo completo;positivo
completando;positivo
terminacion;positivo
conformidad;positivo
obediente;positivo
complicidad;positivo
NO TRANSLATION;positivo
compuesto;positivo
compositor;positivo
calma;positivo
comprender;positivo
exhaustivo;positivo
compromiso;positivo
camarada;positivo
concentrico;positivo
conciliacion;positivo
concluyendo;positivo
concordia;positivo
concordancia;positivo
condolencia;positivo
condonar;positivo
conducente;positivo
conductividad;positivo
confederado;positivo
confesar;positivo
confianza;positivo
confidente;positivo
confirmado;positivo
conformidad;positivo
agradable;positivo
congratulatorio;positivo
congregacion;positivo
congruencia;positivo
conocedor;positivo
conciencia;positivo
concienzudo;positivo
conciencia;positivo
consagracion;positivo
conservacion;positivo
conservar;positivo
considerable;positivo
considerado;positivo
consistencia;positivo
consola;positivo
consonante;positivo
constancia;positivo
constante;positivo
constitucional;positivo
construir;positivo
consumar;positivo
contacto;positivo
contemplacion;positivo
contenido;positivo
continuar;positivo
contorno;positivo
contribuir;positivo
contribuyente;positivo
conveniencia;positivo
conveniente;positivo
convento;positivo
convencion;positivo
versado en;positivo
conversacional;positivo
convertir;positivo
convencer;positivo
guay;positivo
frescura;positivo
cooperar;positivo
cooperando;positivo
cooperacion;positivo
cooperativa;positivo
nucleo;positivo
coronacion;positivo
corporacion;positivo
corporeo;positivo
correctivo;positivo
correspondencia;positivo
corroborar;positivo
cosmopolita;positivo
acogedor;positivo
Consejo;positivo
consejo;positivo
consejero;positivo
contar;positivo
condesa;positivo
valor;positivo
valiente;positivo
cortes;positivo
cortesia;positivo
noviazgo;positivo
ensenada;positivo
pacto;positivo
cuna;positivo
arte;positivo
artesano;positivo
crema;positivo
crear;positivo
creativo;positivo
credito;positivo
credencial;positivo
credibilidad;positivo
creible;positivo
credito;positivo
NO TRANSLATION;positivo
acreditado;positivo
crescendo;positivo
critica;positivo
coronamiento;positivo
crucial;positivo
cristal;positivo
abrazo;positivo
culinario;positivo
culminacion;positivo
cultivar;positivo
cultivado;positivo
cultivo;positivo
cultura;positivo
astucia;positivo
curable;positivo
curiosidad;positivo
rizo;positivo
amortiguar;positivo
cliente;positivo
linda;positivo
cortadores;positivo
dama;positivo
baile;positivo
atrevido;positivo
querido;positivo
apuesto;positivo
hija;positivo
amanecer;positivo
acuerdo;positivo
querido;positivo
debate;positivo
decencia;positivo
bueno;positivo
declaratorio;positivo
Dedicacion;positivo
defender;positivo
defendido;positivo
defensor;positivo
defendiendo;positivo
defensa;positivo
deferencia;positivo
definitivo;positivo
la licenciatura;positivo
delicioso;positivo
delegar;positivo
deliberar;positivo
delicioso;positivo
deleite;positivo
Encantado;positivo
encantador;positivo
liberacion;positivo
entrega;positivo
democracia;positivo
demostrable;positivo
demostrativo;positivo
dependiente;positivo
profundidad;positivo
descriptivo;positivo
merecer;positivo
merecido;positivo
diseñador;positivo
atractivo;positivo
deseable;positivo
deseando;positivo
deseoso;positivo
destino;positivo
detectar;positivo
deteccion;positivo
determinacion;positivo
determinado;positivo
desarrollar;positivo
piadoso;positivo
devoto;positivo
destreza;positivo
diamante;positivo
diario;positivo
diccionario;positivo
didactico;positivo
dietetico;positivo
digno;positivo
dignidad;positivo
diligencia;positivo
cena;positivo
diplomacia;positivo
diplomatico;positivo
director;positivo
descubrimiento;positivo
NO TRANSLATION;positivo
discrecion;positivo
discrecional;positivo
discusion;positivo
desinfeccion;positivo
dispuesto;positivo
diseminar;positivo
destilacion;positivo
distincion;positivo
cancioneta;positivo
diverso;positivo
diversificado;positivo
desviacion;positivo
divinidad;positivo
doctor;positivo
hacedor;positivo
obstinado;positivo
delfin;positivo
dominar;positivo
don;positivo
donacion;positivo
indudable;positivo
paloma;positivo
velloso;positivo
dueto;positivo
duque;positivo
durabilidad;positivo
durable;positivo
obediente;positivo
ansioso;positivo
afan;positivo
conde;positivo
ganar;positivo
serio;positivo
formalmente;positivo
seriedad;positivo
facilitar;positivo
comodidad;positivo
NO TRANSLATION;positivo
comer;positivo
extasis;positivo
extatico;positivo
edificacion;positivo
educar;positivo
educado;positivo
educativo;positivo
eficaz;positivo
eficacia;positivo
eficiencia;positivo
eficiente;positivo
esfuerzo;positivo
eyaculacion;positivo
elaboracion;positivo
exaltado;positivo
mayor;positivo
ancianos;positivo
electo;positivo
electrico;positivo
electricidad;positivo
elegancia;positivo
elegante;positivo
elevacion;positivo
elegible;positivo
elite;positivo
elocuencia;positivo
elocuente;positivo
dilucidar;positivo
emancipacion;positivo
abrazo;positivo
emeritus;positivo
eminencia;positivo
eminente;positivo
eminentemente;positivo
NO TRANSLATION;positivo
empatia;positivo
autorizar;positivo
emular;positivo
habilitar;positivo
habilitacion;positivo
encantar;positivo
encantado;positivo
encantador;positivo
NO TRANSLATION;positivo
alentar;positivo
animo;positivo
enciclopedia;positivo
esfuerzo;positivo
interminable;positivo
dotar;positivo
dotado;positivo
dotacion;positivo
resistencia;positivo
soportar;positivo
energetico;positivo
hacer cumplir;positivo
comprometido;positivo
compromiso;positivo
atractivo;positivo
mejorar;positivo
disfrutar;positivo
disfrutando;positivo
iluminar;positivo
ilustracion;positivo
animar;positivo
enriquecer;positivo
conjunto;positivo
bandera;positivo
emprendedor;positivo
entretener;positivo
entretenido;positivo
entretenido;positivo
entretenimiento;positivo
entusiasmo;positivo
entusiasta;positivo
NO TRANSLATION;positivo
efemerides;positivo
epico;positivo
epitome;positivo
igualdad;positivo
Igualmente;positivo
equilibrio;positivo
equidad;positivo
erotico;positivo
recado;positivo
erudito;positivo
escapar;positivo
espiritu;positivo
esencial;positivo
establecido;positivo
estima;positivo
estetico;positivo
etico;positivo
etica;positivo
hojas perennes;positivo
eterno;positivo
evidente;positivo
evolucion;positivo
exaltar;positivo
exaltacion;positivo
exaltado;positivo
exceder;positivo
sobresalir;positivo
excelencia;positivo
excelente;positivo
intercambiar;positivo
excitable;positivo
excitacion;positivo
excitar;positivo
emocionado;positivo
emocion;positivo
emocionante;positivo
ejemplar;positivo
exencion;positivo
regocijo;positivo
exhortar;positivo
exhortacion;positivo
existencia;positivo
exotico;positivo
esperar;positivo
expectativa;positivo
conveniente;positivo
expedicion;positivo
experimentado;positivo
experto;positivo
pericia;positivo
explique;positivo
Exquisito;positivo
exquisitamente;positivo
ampliar;positivo
extenso;positivo
extra;positivo
extraordinario;positivo
librar;positivo
exuberancia;positivo
facilitar;positivo
hechos;positivo
facultad;positivo
NO TRANSLATION;positivo
justa;positivo
bastante;positivo
fe;positivo
fiel;positivo
fama;positivo
familiar;positivo
familiaridad;positivo
famoso;positivo
famosamente;positivo
lujoso;positivo
trompeteo;positivo
fascinante;positivo
fascinacion;positivo
de moda;positivo
impecable;positivo
favorable;positivo
favorito;positivo
favoritismo;positivo
audaz;positivo
hazaña;positivo
caracteristica;positivo
sensacion;positivo
felicidad;positivo
compañero;positivo
compañerismo;positivo
hembra;positivo
fertil;positivo
fervor;positivo
festival;positivo
festivo;positivo
NO TRANSLATION;positivo
fidelidad;positivo
fiesta;positivo
finalmente;positivo
galas;positivo
finura;positivo
bola de fuego;positivo
incombustible;positivo
firmeza;positivo
NO TRANSLATION;positivo
adecuado;positivo
accesorio;positivo
halagüeño;positivo
flota;positivo
Ligar;positivo
floral;positivo
fluir;positivo
florido;positivo
enjuagar;positivo
volador;positivo
atencion;positivo
cariño;positivo
comida;positivo
futbol;positivo
paciencia;positivo
delantero;positivo
antepasados;positivo
precedente;positivo
capataz;positivo
precursor;positivo
prever;positivo
visto el futuro;positivo
prevision;positivo
fragua;positivo
perdonar;positivo
perdonado;positivo
indulgente;positivo
formativo;positivo
formula;positivo
NO TRANSLATION;positivo
proximo;positivo
fortalecer;positivo
fortaleza;positivo
fortaleza;positivo
afortunado;positivo
fortuna;positivo
adelante;positivo
encontro;positivo
Fundacion;positivo
fragante;positivo
franco;positivo
franqueza;positivo
fraternal;positivo
libertad;positivo
libremente;positivo
amigo;positivo
amabilidad;positivo
amistoso;positivo
amistad;positivo
retozon;positivo
fiesta;positivo
frugal;positivo
fructifero;positivo
cumplir;positivo
cumplimiento;positivo
completo;positivo
completamente;positivo
divertido;positivo
fundamental;positivo
fusible;positivo
fusion;positivo
ganancia;positivo
ganando;positivo
galante;positivo
galanteria;positivo
en abundancia;positivo
jardin;positivo
granate;positivo
guarnicion;positivo
gaceta;positivo
engranaje;positivo
joya;positivo
general;positivo
generosidad;positivo
generoso;positivo
genial;positivo
genio;positivo
gentil;positivo
hidalgo;positivo
dulzura;positivo
alta burguesia;positivo
autentico;positivo
geranio;positivo
regalo;positivo
dotado;positivo
gigantesco;positivo
risilla;positivo
viga;positivo
dando;positivo
alegre;positivo
alegria;positivo
alegria;positivo
planeo;positivo
luz tenue;positivo
brillante;positivo
glorificacion;positivo
glorificar;positivo
gloria;positivo
brillo;positivo
brillo;positivo
brillante;positivo
Dios;positivo
piadoso;positivo
bendicion;positivo
oro;positivo
bueno;positivo
hermoso;positivo
bondad;positivo
bienes;positivo
buena voluntad;positivo
maravilloso;positivo
evangelio;positivo
gobernar;positivo
gracia;positivo
agraciado;positivo
Cortes;positivo
graciosamente;positivo
graduacion;positivo
nietos;positivo
grandeza;positivo
abuela;positivo
conceder;positivo
concedido;positivo
agradecido;positivo
satisfacer;positivo
gratitud;positivo
mayor;positivo
mejor;positivo
grandeza;positivo
verde;positivo
saludo;positivo
gregario;positivo
mueca;positivo
molienda;positivo
arena;positivo
trabajo preparatorio;positivo
crecer;positivo
crecimiento;positivo
garantia;positivo
Guardia;positivo
guardian;positivo
tutela;positivo
gobernador;positivo
direccion;positivo
guia;positivo
guia;positivo
guru;positivo
tripas;positivo
gimnasta;positivo
habitat;positivo
granizo;positivo
sano;positivo
practico;positivo
felizmente;positivo
felicidad;positivo
contento;positivo
resistente;positivo
armoniosamente;positivo
armonia;positivo
cosecha;positivo
refugio;positivo
progreso;positivo
sanar;positivo
curacion;positivo
sano;positivo
saludable;positivo
hogar;positivo
sinceramente;positivo
celestial;positivo
Cielos;positivo
hedonismo;positivo
peso;positivo
casco;positivo
ayudante;positivo
servicial;positivo
herbario;positivo
heroe;positivo
heroico;positivo
heroica;positivo
heroina;positivo
heroismo;positivo
apogeo;positivo
mas alto;positivo
divertidisimo;positivo
hilaridad;positivo
alquiler;positivo
Hobby;positivo
fiesta;positivo
santidad;positivo
santo;positivo
homenaje;positivo
homologia;positivo
honesto;positivo
honestidad;positivo
miel;positivo
Luna de miel;positivo
honor;positivo
honorable;positivo
esperanza;positivo
esperanzado;positivo
horizonte;positivo
hospitalidad;positivo
casa;positivo
gestion interna;positivo
abrazo;positivo
humano;positivo
humanitario;positivo
humanidad;positivo
humilde;positivo
humillado;positivo
humildemente;positivo
humildad;positivo
humorista;positivo
humoristico;positivo
Hurra;positivo
agricultura;positivo
Callate;positivo
choza;positivo
higienico;positivo
himno;positivo
idealismo;positivo
idolo;positivo
NO TRANSLATION;positivo
iluminacion;positivo
ilustrar;positivo
ilustre;positivo
imaginativo;positivo
inmaculado;positivo
inmediatamente;positivo
inmenso;positivo
sumergirse;positivo
inmortal;positivo
inamovible;positivo
impartir;positivo
imparcial;positivo
imparcialidad;positivo
impecable;positivo
impermeable;positivo
importancia;positivo
importante;positivo
impresionar;positivo
impresion;positivo
mejorar;positivo
mejorado;positivo
mejora;positivo
mejorando;positivo
improvisar;positivo
inalienable;positivo
inauguracion;positivo
incisivo;positivo
incluir;positivo
incluido;positivo
incluso;positivo
inclusivo;positivo
ingresos;positivo
incrementar;positivo
indeleble;positivo
indemnidad;positivo
independencia;positivo
indestructible;positivo
individualidad;positivo
indomable;positivo
inefable;positivo
barato;positivo
infalible;positivo
infantil;positivo
infiltracion;positivo
infinito;positivo
infinito;positivo
influencia;positivo
influyente;positivo
informacion;positivo
ingenioso;positivo
herencia;positivo
inimitable;positivo
inocencia;positivo
inocente;positivo
inocentemente;positivo
inocuo;positivo
innovar;positivo
innovacion;positivo
investigador;positivo
investigacion;positivo
inquisitivo;positivo
inseparable;positivo
insignias;positivo
inspector;positivo
inspiracion;positivo
inspirar;positivo
inspirado;positivo
entrega;positivo
instintivo;positivo
instruir;positivo
instruccion;positivo
instructor;positivo
instrumental;positivo
asegurar;positivo
intacto;positivo
integridad;positivo
intelecto;positivo
intelectual;positivo
inteligencia;positivo
inteligente;positivo
destinado a;positivo
intenso;positivo
coito;positivo
interesar;positivo
interesado;positivo
interesante;positivo
interior;positivo
interlocutorio;positivo
interludio;positivo
interminable;positivo
intervencion;positivo
intimo;positivo
entonacion;positivo
intrepido;positivo
intuicion;positivo
intuitivo;positivo
invariablemente;positivo
inventivo;positivo
inventor;positivo
investigar;positivo
vigorizar;positivo
invitacion;positivo
invitacion;positivo
atractivo;positivo
hierro;positivo
irreducible;positivo
irrefutable;positivo
bote;positivo
mermelada;positivo
NO TRANSLATION;positivo
unirse;positivo
unido;positivo
bromista;positivo
bromas;positivo
periodista;positivo
viaje;positivo
jovial;positivo
alegria;positivo
alegre;positivo
jubiloso;positivo
jubiloso;positivo
aniversario;positivo
judicial;positivo
juicioso;positivo
saltar;positivo
justicia;positivo
justificable;positivo
justificacion;positivo
recuerdo;positivo
conocido;positivo
fundamental;positivo
piedra clave;positivo
amabilidad;positivo
parientes;positivo
Rey;positivo
Beso;positivo
gatito;positivo
maña;positivo
caballero;positivo
conocimiento;positivo
conocimiento;positivo
prestigio;positivo
labor;positivo
cordon;positivo
Cordero;positivo
tierra;positivo
aterrizado;positivo
laser;positivo
loable;positivo
risa;positivo
riendo;positivo
risa;positivo
lanzamiento;positivo
laureado;positivo
laurel;positivo
laureles;positivo
prodigar;positivo
legal;positivo
dirigir;positivo
lider;positivo
liga;positivo
aprender;positivo
aprendizaje;positivo
conferencista;positivo
libertad de accion;positivo
legal;positivo
legalizado;positivo
legendario;positivo
legibilidad;positivo
legible;positivo
ocio;positivo
sin prisa;positivo
lema;positivo
indulgente;positivo
leccion;positivo
letrado;positivo
apalancamiento;positivo
responsabilidad;positivo
liberal;positivo
liberar;positivo
liberacion;positivo
libertad;positivo
biblioteca;positivo
alma;positivo
faro;positivo
gusto;positivo
lingüista;positivo
leon;positivo
agil;positivo
logico;positivo
longevidad;positivo
señor;positivo
señorio;positivo
amable;positivo
amor;positivo
encantador;positivo
NO TRANSLATION;positivo
amante;positivo
amoroso;positivo
leal;positivo
lealtad;positivo
suerte;positivo
suerte;positivo
delicioso;positivo
lustre;positivo
lustroso;positivo
exuberante;positivo
lujoso;positivo
lujo;positivo
lira;positivo
lirico;positivo
magico;positivo
iman;positivo
magnetismo;positivo
magnetita;positivo
magnificencia;positivo
magnifico;positivo
doncella;positivo
principal;positivo
pilar;positivo
majestuoso;positivo
majestad;positivo
mayor;positivo
mayoria;positivo
gestionar;positivo
administracion;positivo
mandarin;positivo
virilidad;positivo
manifestado;positivo
varonil;positivo
mana;positivo
amanerado;positivo
modales;positivo
fabricante;positivo
marzo;positivo
marcado;positivo
vendible;positivo
marques;positivo
matrimonio;positivo
medula;positivo
casar;positivo
mariscal;positivo
maravilla;positivo
maravilloso;positivo
maravillosamente;positivo
masculino;positivo
masaje;positivo
dominar;positivo
obra maestra;positivo
maestria;positivo
compañero;positivo
materno;positivo
matrimonio;positivo
matrona;positivo
maximo;positivo
alcalde;positivo
prado;positivo
mesurado;positivo
medalla;positivo
mediar;positivo
mediacion;positivo
mediador;positivo
medico;positivo
NO TRANSLATION;positivo
Mediterraneo;positivo
popurri;positivo
recuerdo;positivo
memorable;positivo
zurcidura;positivo
menstruo;positivo
mentor;positivo
misericordioso;positivo
misericordia;positivo
unir;positivo
merito;positivo
meritorio;positivo
alegria;positivo
alegre;positivo
metropolitano;positivo
brio;positivo
microscopia;positivo
Partera;positivo
parteria;positivo
poderoso;positivo
mimica;positivo
consciente de;positivo
atencion plena;positivo
ministerio;positivo
milagro;positivo
milagroso;positivo
alegria;positivo
misionero;positivo
modelo;positivo
moderar;positivo
moderador;positivo
modesto;positivo
modestia;positivo
impulso;positivo
monetario;positivo
dinero;positivo
monje;positivo
Monumento;positivo
moral;positivo
moralidad;positivo
moralidad;positivo
mortero;positivo
madre;positivo
maternidad;positivo
motivo;positivo
movil;positivo
agente de mudanzas;positivo
jarra;positivo
muscular;positivo
musica;positivo
musical;positivo
mudable;positivo
mutuo;positivo
siesta;positivo
naturalista;positivo
navegable;positivo
pulcramente;positivo
nectar;positivo
aguja;positivo
negociar;positivo
negociador;positivo
vecino;positivo
nervio;positivo
hacerse un nido;positivo
nobleza;positivo
noble;positivo
noble;positivo
nominacion;positivo
normalidad;positivo
Incapaz;positivo
notables;positivo
NO TRANSLATION;positivo
nocion;positivo
notoriedad;positivo
alimento;positivo
numeros;positivo
enfermera;positivo
guarderia;positivo
nutrir;positivo
nutritivo;positivo
roble;positivo
oasis;positivo
juramento;positivo
obediencia;positivo
servicial;positivo
observante;positivo
asequible;positivo
obvio;positivo
ocupante;positivo
ocupacion;positivo
ocupar;positivo
oferta;positivo
oficial;positivo
compensar;positivo
vastago;positivo
omnipotencia;positivo
omnisciente;positivo
franqueza;positivo
opera;positivo
oportuno;positivo
oportunidad;positivo
optimismo;positivo
optimista;positivo
opcion;positivo
Opcional;positivo
oraculo;positivo
oracion;positivo
orquesta;positivo
ordenado;positivo
ordenado;positivo
ordenacion;positivo
organico;positivo
organizacion;positivo
organizar;positivo
organizado;positivo
orgasmo;positivo
originalidad;positivo
adornado;positivo
florido;positivo
explosion;positivo
Salir;positivo
exceder;positivo
excepcional;positivo
exterior;positivo
lleno de alegria;positivo
abrumador;positivo
propiedad;positivo
Pacifico;positivo
almohadilla;positivo
relleno;positivo
paleta;positivo
sabroso;positivo
paliativo;positivo
panacea;positivo
estilo;positivo
NO TRANSLATION;positivo
pimenton;positivo
desfile;positivo
dechado;positivo
supremo;positivo
parafrasis;positivo
perdon;positivo
familia;positivo
parietal;positivo
participar;positivo
participacion;positivo
compañero;positivo
asociacion;positivo
pasion;positivo
apasionado;positivo
pasatiempo;positivo
pastor;positivo
Pasteleria;positivo
pastar;positivo
patentar;positivo
paciencia;positivo
paciente;positivo
patriarcal;positivo
patron;positivo
mecenazgo;positivo
paga;positivo
paz;positivo
pacifico;positivo
pacifico;positivo
pavo real;positivo
picotear;positivo
peculiaridad;positivo
arbol genealogico;positivo
sin par;positivo
inclinacion;positivo
percibir;positivo
perceptible;positivo
perenne;positivo
Perfecto;positivo
perfeccion;positivo
ejecutante;positivo
gaje;positivo
permiso;positivo
perpetuidad;positivo
persistencia;positivo
persistente;positivo
de buen ver;positivo
pertinente;positivo
petroleo;positivo
farmaceutico;positivo
filantropo;positivo
filantropia;positivo
filosofo;positivo
fenix;positivo
fonetico;positivo
medico;positivo
fisica;positivo
fisiologia;positivo
fisico;positivo
recoger;positivo
picnic;positivo
pintoresco;positivo
piedad;positivo
pildora;positivo
almohada;positivo
piloto;positivo
pinaculo;positivo
pionero;positivo
piadoso;positivo
medula;positivo
pivote;positivo
placido;positivo
planificacion;positivo
jugueton;positivo
patio de recreo;positivo
teatro;positivo
agradable;positivo
satisfecho;positivo
agradable;positivo
promesa;positivo
plenario;positivo
abundante;positivo
plexo;positivo
ciruela;positivo
sondear;positivo
felpa;positivo
capa;positivo
intencionadamente;positivo
policia;positivo
policia;positivo
polaco;positivo
pulido;positivo
Cortes;positivo
cortesia;positivo
NO TRANSLATION;positivo
piscina;positivo
papa;positivo
popularidad;positivo
popularizado;positivo
poblacion;positivo
portatil;positivo
poseer;positivo
potable;positivo
potencia;positivo
poderoso;positivo
poderosamente;positivo
practica;positivo
experto;positivo
practica;positivo
alabanza;positivo
alabado;positivo
loable;positivo
orar;positivo
precaucion;positivo
preceder;positivo
precedencia;positivo
precioso;positivo
preciso;positivo
precision;positivo
predileccion;positivo
predominante;positivo
