Usuario;Caption;Likes;Imagen;Fecha
enahernandezh;Estoy en proceso ...Hay cosas que aprender y cosas por reprogramar. Hay cosas que soy y no quiero ser, hay cosas qie aún no soy y quiero ser, hay cosas que soy y aún no sé, pero estoy buscando saber, estoy en construcción, pero he estado en demolición.R.I.Todos los inicios son duros pero vamos que vamos!! 4 horitas hoy Porto azul, Sombrero, La Negra, Guaimaral, Paluato, Galapa, Prosperidad, Porto Z2 🥴 un sol inclemente, un viento huracanado y ni hablar de la humedad, pero feliz y #conlafeintacta @thresholdexperts vamos con toda!..Mis manguillas @bioracerspeedwear  @bioracerlatinoamerica las amé! Todooo mi #kitfitcycling #bioracer #bioracerfamily #wemakeyoufaster ..#bombom 🥰😍 @orbeabicycles @orbeacolombia  será que si se quemó la Paella? Jajajajja;1,457 likes;;February 9
enahernandezh;Hoy me encuentro súper feliz por varias razones pero la principal es por que hoy arrancamos un nuevo proceso de formación y construcción, iniciamos la etapa de entrenamiento específico con el acompañamiento de un súper equipo @thresholdexperts vayan a seguirlos y a cada uno de los profes que son lo máximo!!!! Ellos ofrecen servicios deportivos especializados en ciclismo, atletismo y triatlón 🙌🏽 sus entrenadores @pablojaramillo99 @pablopulidoibarra y @alexis_casas96 se han dado a la tarea de formar campeones, confío plenamente en ellos para lograr una mejor versión de mi, me encanta además su proyecto @jovenesciclistas échenle un ojito para que se sorprendan, vamos con todo!!!! Cada dia Dios pone en tu camino lo que necesitas y lo que te aporta 🙏🏽 aunque eso implique desaprender y aprender.....Para el inicio de este proceso nos fuimos con nuevo ciclocomputador que me permite tener una mejor visibilidad de la info que necesito ver jajaja los que me conocen saben que no veo nada de cerca jajjaja 🤪🤣🤣🤓 asi que gracias @cycleshopcol  siempre con lo mejor!!! Vayan a ver las historias para que lo chismoseen es súper fácil de usar y muy amigable!..Háblenme de mi espectacular Jersey del equipo de ciclismo de Bélgica @belgiancycling de @bioracerlatinoamerica @bioracerspeedwear lindoooo #bioracer #bioracerfamily #wemakeyoufaster bueno a @remco.ev le queda mejor 😂😂😂...#thisiswhywerace @dsrbydelhivelo @women_on_bikes @womenridebikes #ciclismo #cycling #cyclinglife #cyclingphotos #cyclinglifestyle #bike #colombia #femmecycling #roadcycling #instapic;1,063 likes;https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/83232855_165302481553563_7561019388971450233_n.jpg?_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=IkVTUtKH5KAAX83MQoY&oh=9b7a99dc58c93476633af902ee302571&oe=5E9772AA;February 8
enahernandezh;Feliz viernes!!!!! Finde semana de fondoooooo 🚴🏻‍♀️💃🏽;1,401 likes;https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/83668925_896197304133983_102771684071916582_n.jpg?_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=o-Mkn_eiy6gAX_rpR81&oh=c353a895d223db6a8b6933a7dd41b9b3&oe=5EA6D062;February 7
enahernandezh;Hoy es jueves de tbtazos!!! Si señor jejej les mostraré cuando tenia el cabello negro azabache, cuando no era ciclista y usaba flequillo, y si deslizan hasta el final encontrarán una en la que estaba totalmente al natural. Espero sus impresiones ... la primera foto es del año 2014, las siguientes fotos son del año 2009 y la última foto es del año 2007 🥰...#tbt #juventud #tbt❤️ #tbt🔙📸 #pelinegra;1,811 likes;;February 6
enahernandezh;Persiga, persiga, persiga, sufra, sufra, sufra ... fin del comunicado!...Hoy llegué tarde y me fuí como loca detrás del lote, pequeño detalle que olvidé ... el trabajito de piernas en el gym 🥴, como ardía uufff 🔥🔥🔥 pero ese es el más delicioso ardor..Mi #perfectmatch todo me combina @bioracerlatinoamerica @bioracerspeedwear #bioracerfamily #wemakeyoufaster @orbeabicycles @orbeacolombia #orbeaorcaaero ..Sabiaa que el color Rojo, expresa peligro, atracción, pasión, dinamismo, calidez y agresividad, es utilizado en muchas partes debido a su gran particularidad de llamar mucho la atención, debido a que está asociado con el fuego, la sangre, la temperatura, y el concepto alerta o peligro. Es utilizado en su gran mayoría en marcas de consumo humano y en marcas que quieren influir dinamismo en las personas.;1,136 likes;;February 5
enahernandezh;Sabias que la descarga muscular deportiva es un eficaz método para prevenir lesiones, poner a punto nuestros músculos, tendones, ligamentos y articulaciones y optimizar el rendimiento. Debería formar parte de la rutina deportiva junto a las sesiones de entrenamiento, estiramientos, el descanso, la alimentación y la hidratación. Pero muchos de nosotros no acostumbramos a hacerla, este año tengo el firme propósito de estar juiciosa en este aspecto y estoy tratando de hacerla por lo menos 1 vez a la semana asi como mi terapia de la rodilla, te gustaría saber más sobre este tema? Con @arielnavarro_rd me realizo estas descargas y él nos puedo ilustrar más..Hoy como todos los dias dí gracias a Dios por un nuevo dia y un nuevo amanecer, salí a entrenar y a compartir con amigos... tú como empiezas tu dia?;1,373 likes;;February 4
enahernandezh;¿Porque es importante realizar un entrenamiento de fuerza?Los entrenamientos de fuerza te harán más rápido en la bicicleta y le aportarán beneficios a tu salud. Ralentiza y revierte la pérdida de masa muscular asociada al envejecimiento, mejora la fuerza y la salud relacionada con la pérdida de peso. Gracias al aumento en la densidad ósea le ayudara a prevenir lesiones en la bicicleta, vamos a fortalecer! ...@spinningcentergym ..@beautiful_sporty_girls @bikes.girls.and.more #workout #fitnessmotivation #pretemporada;3,512 likes;https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/84561321_506283006955689_9143618575596207506_n.jpg?_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=kObF89Rjt4gAX8NHdYU&oh=494a425f09fc29f5d2e9d8d17a9d7d7c&oe=5E9B7488;February 3
enahernandezh;Hoy nos gozamos la primera versión de la @maratonbaq acompañamos a #Pochy como siempre orgullosa de él 🥰 un tiempo de 3:26 en Barranquilla no fué fácil pero lo logró 👏🏻👏🏻👏🏻💪🏽 que evento tan bonito, excelente organización, con muestras del carnaval y de nuestros héroes de la patria, toda una fiesta deportiva para toda la familia, una notable participación de mi queridas @bikequeensbaq felicidades a todas y gracias a @bicipeople por hacerme parte del equipo de logística de acompañamiento del evento, todo impecable! Anímense a venir a Barranquilla está muy 🔝;1,792 likes;;February 2
enahernandezh;Y volvimos a la via al mar hasta el sombrero para hacer la vuelta a La Negra! Que buen entreno, que buen combo, hagamos lo que nos hace felices, sin más cuento y sin más chiste, haga lo que le dé la gana y sonriaaaa SONRÍA @teamcervantes VACANOOOO @paulo_perez82 gracia por los videos y @jairojescobar gracias por las fotos! Salvaste el dia jajaja;1,102 likes;;February 1
enahernandezh;Este año va volando!!! Ya se acabó Enero y de la@mejor manera, hoy nos fuimos de Tubará y Piojó y viernes diferente y nos encontramos un lugar muy especial que aunque aún no está terminado nos cautivó muchísimo, yo sigo juiciosa con mi trabajito suave, sin prisa y enfocada, con un combo para disfrutar... bueno y ahora he entrado en la onda de @tiktok me ha encantado!!! Es divertido e innovador, la vida es para reirrrr síganme por allá también, los que no saben o no la conocen descárguenla es un hit!!! Y me siguen! Allá salgo como @enahernandezbike...@bioracerlatinoamerica @bioracerspeedwear me encanta mi #kitfitcycling de #flamingo #bioracerfamily #wemakeyoufaster #bioracer ..@orbeabicycles @orbeacolombia mi #bombom se porta de maravilla!!!..——————————————- #ciclismo #ciclismofemenino #ciclismoderuta #ciclismoepico  #ride #roadcycling #cyclingpics # #bikes #road  #cycling #bike #cyclinglife #bikelife #cyclingphotos  #bicycle #cyclist #cyclingculture #asmeninasnabike #cyclingqueens #amoralpedal #pasionporlabici #thisiswhywerace @dsrbydelhivelo;1,200 likes;;January 31
enahernandezh;#tbt en esta hermosa y mágica fuente #fontanaditrevi por supuesto pedí mi deseo!! Y tengo fé jejeje ustedes que desearían?..#travelphotography #travelgirl #roma #italia #lafontanaditrevi #eurotrip #tbt #enahernandezh;581 likes;;January 30
enahernandezh;Hoy quedé apaleada!!! Mis respetos para todos los que hacen #mtb uufff hoy hicimos Morro, Santuario, Cupino, San Francisco, desde y hasta la Porto, fueron 60k qie desafortunadamente no quedaron registradosnpor completo en la bolsa como dice mi amigo @ecamelo790 pero bueno se detuvo el kilometro 25,9 con un muy buen balance, estamos entrenando es con tooo! Que paisajes y súper compañía! Gracia muchachos!! @caceres6084  @prato2013 se les aguanta 🤣🤣🤣 me duele todoooo pero estoy feliz 🥰..Les cuento que ya entré en la honda del @tiktok pa que vayan a chismosear sigan la cuenta @enahernandezbike 🤣🤣🤣 me voy a disfrutar esa aplicación.Graciasssss @qunno por salvarme la vida que delicia!! Y lo mejor es que aporta todos los nutriente necesarios para la recuperación (remolacha, avena, maca, almendras) 🥰;1,242 likes;;January 29
enahernandezh;Por estas fechas y una vez hemos superado el periodo de transición entre dos temporadas la mayoría de ciclistas ya nos encuentramos inmersos en plena pretemporada y con los objetivos en la mira, enfocados... hemos empezado a construir la base que nos permitirá aguantar un largo año de carreras y gran fondos. Yo por ahora sigo dándole estos dias al caballito de #mtb pero en carretera. Mucha cadencia!!..De paso compartimos con los amigos #cyclingteam ahí les regalo el amanecer!!! .No olviden que el 1 de Febrero aumenta la rifa de inscripción del @gfnyrd en mi bio y en las historias encuentran el link 😬;1,235 likes;;January 28
enahernandezh;Buenos dias, buenos dias, buenos dias!!! Feliz inicio de semana!!! Empezamos hoy lunes con toda la actitud, haciendo mi trabajito en bici de mtb, sabían que con el mtb liberas endorfinas, que son las hormonas que generan bienestar y mejoran tu humor. Cuando haces un ejercicio tan exigente pero a la vez, divertido como el MTB, reduces el estrés y la ansiedad, además le enseñas a tu cuerpo a soportar situaciones de estrés. Notarás que al despertar cada mañana, estás feliz, tienes motivos para pararte de la cama, le hallas sentido a cada día y por lo tanto, querrás entrenar y sentirte vivo gracias al deporte..Ahí les dejo el dato!!;1,038 likes;;January 27
enahernandezh;Nos fuimos de #MTB 🚵🏽‍♀️ seguimos construyendo la base y esta vez optamos por irnos de trochita, la pasamos súper, ahí vamos aprendiendo y divirtiéndonos, cambiamos de ambiente, de paisajes, de terreno y la pasamos bueno!!! Gracias @coastbikersmtb por la compañía y las atenciones, ahh pero no olvidaré que decían que era suave... ya conocen lo que viene jajajaja @bikequeensbaq a la altura!!!La ruta: Ostión, Buda, Juaruco, 4 Bocas, Ostión ..@mtbqueens @mtbcapixaba @mtbgirlss @woman_mtb_lifestyle @lobas_da_montanha_mtb @beautiful_sporty_girls @womenlovebikes @women_on_bikes @womenridebikes @pretty_girls_on_bike @bikes.girls.and.more @pasionporlabici_col @dsrbydelhivelo @girls_bike_colombia_;1,057 likes;;January 26
enahernandezh;#lastnight Fiestuky Tropical por el cumpleañero @miltonllinas nos tocó quitarnos las zapatillas y el casco jejeje 💃🏽 se pasó bueno o no @eydimlopez84;1,603 likes;;January 25
enahernandezh;Dia muy muy atípico, salimos a rodar a las 6:15 am (tarde) con una llovizna durita que en esta época no es para nada normal, bastante preocupante por los cambios climáticos que se han presentado, aún asi decidimos dar una vuelta que al final fué muy beneficiosa y se salvó el día, entonces no importa a que hora, busca alguien que te apoye y acompañe, automotivate, todo está en la disciplina!!!! Tenemos varios retos que sacar adelante y vamos por ellos💪🏽Les cuento que a esa hora las fotos quedan 🔝🔝🔝...@bioracerspeedwear @bioracerlatinoamerica #bioracer #bioracerfamily #wemakeyoufaster;1,711 likes;;January 24
enahernandezh;Hoy cumple años mi gran amigo, compañero de rutas locas, siempre leal, siempre firme desde que inicié en el ciclismo, me ha enseñado mucho y ha sido participe de mi proceso en el alcance de mis objetivos, ha aportando en cada uno de mis triunfos y ha estado apoyando en los momentos en los que no me fué tan bien, hoy la bici fué de celebración y de que manera, celebramos subiendo a Los 2 miradores de Tubará, siii hay 2 y les confieso que en el que no conocia tuve temor de caer de lo inclinado qie estaba, yo lo describiría como el pequeño Hibacharo, es horribleeee aunque la vista es hermosa, gracias @caceres6084 Lucho por molerme las piernas después del dia de fortalecimiento de piernas de ayer, te la paso por es tu dia!!!..Háblenme de esos paisajes 😍😍😍..@bioracerspeedwear @bioracerlatinoamerica #bioracerfamily #wemakeyoufaster ..@orbeabicycles  @orbeacolombia  #orbeaorcaaero ..————————————.@orbeabicycles @orbeacolombia #orbeaorcaaero #ciclismo #ciclismofemenino #ciclismoderuta #ciclismoepico  #ride #roadcycling #cyclingpics # #bikes #road  #cycling #bike #cyclinglife #bikelife #cyclingphotos  #bicycle #cyclist #cyclingculture #asmeninasnabike #cyclingqueens #amoralpedal #pasionporlabici #thisiswhywerace @dsrbydelhivelo #publicidad;1,340 likes;;January 23
enahernandezh;VAT (Vuelta a Tubará) como dice la canción “Despacito Quiero respirar tu cuello despacito Deja que te diga cosas al oído Para que te acuerdes si no estás conmigo”... ..No superar el 75% de nuestra FCmax es el objetivo por estos dias! Se necesita muuuuuchaaaaa paciencia pero con la compañía de amigos se puede lograr!..#gfnyPuntaCanaallávoy @gfnyrd  les dejé el link de inscripción en las historías, síganlos para que estén enterados de todo!! 🏝 ..Mi #kitfitcycling hoy @bioracerspeedwear @bioracerlatinoamerica 🔥 solo me encanta! #bioracerfamily  #wemakeyoufaster #bioracer ..@orbeabicycles @orbeacolombia #orbeaorcaaero #ciclismo #ciclismofemenino #ciclismoderuta #ciclismoepico  #ride #roadcycling #cyclingpics # #bikes #road  #cycling #bike #cyclinglife #bikelife #cyclingphotos  #bicycle #cyclist #cyclingculture #asmeninasnabike #cyclingqueens #amoralpedal #pasionporlabici #thisiswhywerace @dsrbydelhivelo #publicidad;1,650 likes;https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/81109577_2917136588343283_3014119778088934099_n.jpg?_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=woStQKk3z48AX_ahJQ2&oh=8cf1a492e45f472f6f6d08671db14cae&oe=5E92ADC4;January 22
enahernandezh;Este es un Post para recordarte lo grande que eres y lo mucho que puedes lograr!!! #motivate ..Martes de ZL con Amigos, si de ZL 😂😂😂 45k pa activar la semana! ..@bikequeensbaq @killabikecafe @cycling0x3 @orbeacolombia @orbeabicycles @womenridebikes @womenlovebikes @amoralpedal @pasionporlabici_col @womenlovebikes @moonsbreakfast @pedallivrefotos @bikesudoeste @bikes.girls.and.more @pretty_girls_on_bike @beautiful_sporty_girls @girls_bike_colombia_ @dsrbydelhivelo @thecyclingculture;1,630 likes;;January 21
enahernandezh;Así de vez en cuando ...;2,942 likes;https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/e35/83113220_503076847016567_8351144677489494995_n.jpg?_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=w2PB4QVsA5oAX-6JHNj&oh=04725fc5df7afc17d78cb681a1125836&oe=5E98C881;January 20
enahernandezh;La gente “normal” preferiría dormir un domingo hasta tarde y luego ir a a la playa o almorzar por fuera, nosotros en nuestra sana locura preferimos ir a explorar nuestras vías, ver el amanecer sobre la bici, compartir experiencias, quemar calorías y tomarnos fotos, lo más chevere enriquecer nuestra alma y cuerpo, mejorar cada día un poquito más, amoo esta ruta, amor la bici... que combote el de hoy!! Gracias todos por su compañía 🤗..@gfnyrd allá vamos!!! Desde ya entrenando para ese paradisíaco reto 🏝 🚴🏻‍♀️ 🏝 .. Que notan en la foto? Algo se me olvidó jajajaja.@bioracerlatinoamerica @bioracerspeedwear #bioracerfamily #bioracergirl #bioracer #wemakeyoufaster ..@orbeabicycles @orbeacolombia #orbeaorcaaero .@cycleshopcol 😎 #cyclingaccessories .. ——— #ciclismo #ciclismofemenino #ciclismoderuta #ciclismoepico  #ride #roadcycling #cyclingpics # #bikes #road  #cycling #bike #cyclinglife #bikelife #cyclingphotos  #bicycle #cyclist #cyclingculture #asmeninasnabike #cyclingqueens #amoralpedal #pasionporlabici #thisiswhywerace @dsrbydelhivelo #publicidad;1,676 likes;;January 19
enahernandezh;Pa las tristezas, las alegrías, pa los días buenos y los difíciles... LA BICI!!! 95k de viento huracanado con @clubcervantes  a paso de base, vuelta a Polo Nuevo. Desde ha preparándonos para el @gfnyrd por que vamos pa Punta Cana con toda!!!! Ya se inscribieron?#tip para entrenar ... jugo de remolacha, café, golden milk, vitamica C, infusiones de flor de jamaica, manzanilla 🙌🏽 se las dejo ahí .Feliz Sábado!!!..@bioracerspeedwear @bioracerlatinoamerica #bioracerfamily #makeyoufaster .@orbeacolombia @orbeabicycles #orbeaorcaaero .;1,461 likes;;January 18
enahernandezh;Cada día más convencida de que la vida es un suspiro, cada segundo hay que vivirlo como si fuera el último, hoy estás, mañana no lo sabes! 🖤;1,630 likes;;January 16
enahernandezh;Hace una semana no toco la bici, pero hoy volví al gym y retomamos el fortalecimiento y ustedes no saben lo feliz que me siento haciendo deporte, para mi no es tortura, no es castigo, para mi es simplemente mi momento conmigo, es un plan como ir tardear o ir a cine, hace parte de mi vida y me hace sentir viva!!! ... ————————————————————————#ciclismo #ciclismofemenino #ciclismoderuta #mundociclismo #ciclismoepico  #ride #training #roadcycling #cyclingpics #lifestyle #bikes #road  #cycling #bike #cyclinglife #bikelife #cyclingphotos  #bicycle #cyclist #cyclingculture #asmeninasnabike #cyclingqueens #amoralpedal #pasionporlabici #thisiswhywerace @dsrbydelhivelo;1,053 likes;;January 15
